lu,week,mob,dLeq,city_dLeq,rel_noise,rel_noise_s
commercial,2020-03-30,1.0588178885824624,0.9531429689664911,1.0556899922486067,-0.10254702328211562,-0.2149141070762236
commercial,2020-04-20,0.9746742361451105,0.8492694390335417,1.1765506299038733,-0.3272811908703316,-0.2137308497639233
commercial,2020-04-27,0.9754300899689825,1.4266140531381764,1.637978388277499,-0.21136433513932262,-0.20574451558347678
commercial,2020-05-04,1.0071460240579633,2.0003572137233685,2.182142726765506,-0.1817855130421373,-0.24515358424832087
commercial,2020-05-11,1.0368458520381791,2.0211517583182834,2.2813350562597754,-0.260183297941492,-0.19544302879441355
commercial,2020-05-18,1.0357326799357023,2.5374471802965757,2.665886149351278,-0.1284389690547023,-0.1722443845345623
commercial,2020-05-25,1.035808574262497,1.9957819895040914,2.114351747604009,-0.11856975809991765,-0.13900762255388383
commercial,2020-06-01,1.0296824131269204,1.9330520837524325,1.981890548871856,-0.04883846511942336,-0.08462704837107454
commercial,2020-06-08,1.0744994929298808,2.4621995723017407,2.5048605735119955,-0.042661001210254845,-0.09006000652485524
commercial,2020-06-15,0.9748723844986656,1.428530108665573,1.5787009103353982,-0.1501708016698251,-0.1054827129619203
commercial,2020-06-22,1.0307728201718245,1.903768697263807,2.084029281111985,-0.1802605838481779,-0.12852627316066256
commercial,2020-06-29,1.029699914693216,1.6233960441914257,1.764408750105818,-0.1410127059143924,-0.1606275364913467
commercial,2020-07-06,1.0320821765818071,1.5804950165865137,1.751561071119505,-0.1710660545329914,-0.1327798890778703
commercial,2020-07-13,1.033306682994082,2.3446420666684635,2.383422278684383,-0.038780212015919524,-0.09564438275235088
commercial,2020-07-20,1.034487326327761,3.098113918595181,3.129832477141281,-0.03171855854610017,-0.05668492752905491
commercial,2020-07-27,1.020737454246644,3.876020209743233,3.8611950947644416,0.014825114978791465,-0.003467145324225651
commercial,2020-08-03,1.0150808131692897,5.400470437740941,5.358665363454615,0.04180507428632563,0.003508179049417137
commercial,2020-08-10,1.0098843492251302,5.5080925682067114,5.51897148272806,-0.01087891452134837,-0.05455531041327799
commercial,2020-08-17,0.9777010026586431,4.15310692665178,4.417079443048661,-0.2639725163968807,-0.15794400540415254
commercial,2020-08-24,0.9860222670566858,3.398686590695378,3.797416255680085,-0.39872966498470674,-0.24636106120149204
commercial,2020-08-31,0.9750905612910984,2.215060022029444,2.526923170932476,-0.31186314890303235,-0.3273501151282493
